path,label,label_str,tag1
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Praktica_DCZ59/Praktica_DCZ5.9_3_35076.JPG,0,Real,Praktica_DCZ59
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_D200/Nikon_D200_1_17696.JPG,0,Real,Nikon_D200
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Pentax_OptioA40/Pentax_OptioA40_3_32468.JPG,0,Real,Pentax_OptioA40
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Olympus_mju_1050SW/Olympus_mju_1050SW_4_25691.JPG,0,Real,Olympus_mju_1050SW
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Olympus_mju_1050SW/Olympus_mju_1050SW_2_24623.JPG,0,Real,Olympus_mju_1050SW
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_H50/Sony_DSC-H50_0_47369.JPG,0,Real,Sony_DSC_H50
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Agfa_Sensor530s_0/Agfa_Sensor530s_0_2538.JPG,0,Real,Agfa_Sensor530s_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_2_10688.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_1_10582.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_T77/Sony_DSC-T77_3_50691.JPG,0,Real,Sony_DSC_T77
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_CoolPixS710_0/Nikon_CoolPixS710_3_14135.JPG,0,Real,Nikon_CoolPixS710_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Kodak_M1063_0/Kodak_M1063_0_9822.JPG,0,Real,Kodak_M1063_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_NV15/Samsung_NV15_0_45408.JPG,0,Real,Samsung_NV15
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Praktica_DCZ59/Praktica_DCZ5.9_4_35530.JPG,0,Real,Praktica_DCZ59
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Samsung_NV15/Samsung_NV15_1_45871.JPG,0,Real,Samsung_NV15
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Ricoh_GX100/Ricoh_GX100_3_40200.JPG,0,Real,Ricoh_GX100
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/FujiFilm_FinePixJ50_0/FujiFilm_FinePixJ50_1_8309.JPG,0,Real,FujiFilm_FinePixJ50_0
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Nikon_D200/Nikon_D200_1_17630.JPG,0,Real,Nikon_D200
/home/pri/Dataset/Real/Camera Dataset/Dresden_Exp/Sony_DSC_T77/Sony_DSC-T77_3_50711.JPG,0,Real,Sony_DSC_T77
