Feature,Importance
meta_has_app0,0.16605334
cnn_score,0.13163699
meta_geo,0.08117551
meta_valid_soi,0.080529265
meta_hist_count,0.06474783
meta_has_app1,0.0417542
gan_tail_roughness,0.030331414
ela_mean,0.027285475
meta_stripped,0.02635585
meta_suspicious,0.02497663
dct_periodicity_score,0.0194492
ghost_mean,0.01774352
ghost_std,0.017451182
meta_software,0.017062183
ela_std,0.016486535
gan_fit_err,0.015918247
dct_hf_energy_ratio,0.014517675
dct_benford_divergence,0.014371162
meta_valid_eoi,0.014142497
lap_std,0.012275435
loc_smooth_ratio,0.011894194
lap_mean,0.010111473
meta_icc,0.009220911
ela_bright_ratio,0.009047407
med_mean,0.008957286
nlf_outlier_ratio,0.007956277
loc_max_variance,0.007819648
med_std,0.0073760804
exp_mean_brightness,0.0072861738
meta_res_mis,0.0069119846
loc_avg_var,0.006904239
bag_crop_shift_x,0.006640712
bag_horizontal_grid_strength,0.0055887713
exp_is_too_dark,0.0055328757
dct_sparsity_score,0.005413605
bag_crop_shift_y,0.00505377
meta_deep_edit,0.0049242987
nlf_intercept,0.0045625316
bag_vertical_grid_strength,0.0045091845
gan_hf_energy,0.0043142405
meta_has_com,0.003840132
nlf_noise_fit_rmse,0.003805609
exp_global_std,0.0034753003
nlf_slope,0.003302774
med_bright_ratio,0.003031406
bag_is_aligned,0.0029883054
ghost_bright_ratio,0.0027556631
lap_bright_ratio,0.0025109926
meta_time_mis,0.0
meta_thumb_mis,0.0
meta_high_chroma,0.0
exp_is_flat,0.0
